Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-3.79196909459318E-12,-4.73285478137411E-11,1.22993156309946E-05,0,0,0,0.0712944231487941,0.000399097163214721,-6.42255535002429E-13,-1.71654257053057E-16,3.100773358623E-05,-3.3241040190076E-15,0.000378318474974681,0,0,0,0,0,0,package://Whole BODY URDF SET UP/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Whole BODY URDF SET UP/meshes/base_link.STL,,Center Spine Connection-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Front_Hip,-0.0542406994149277,0.0322730422705062,3.74012382937583E-05,0,0,0,0.121414931103108,0.000104658493106656,-5.87910724622098E-13,-4.97582005480662E-12,9.3656901814943E-05,2.09107841059153E-08,0.000157485606415984,0,0,0,0,0,0,package://Whole BODY URDF SET UP/meshes/Front_Hip.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Whole BODY URDF SET UP/meshes/Front_Hip.STL,,Assem9^Whole BODY URDF SET UP-1/Large Torso Shoulder Mount-1,Origin_Front_Hip,Axis_Front_Hip,Front_Hip,fixed,0.0542407007709616,0.1149985,5.35317635531158E-05,0,0,0,base_link,0,0,0,,,,,,,,,,,,
Front_Left_Shoulder,0.0137739851795441,-0.0125083167030698,-0.0391386009814933,0,0,0,0.140436940047647,2.80379795093138E-05,5.40046079082896E-07,5.83190778717265E-09,4.80687439403981E-05,1.13010403668755E-07,4.46905233653811E-05,0,0,0,0,0,0,package://Whole BODY URDF SET UP/meshes/Front_Left_Shoulder.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Whole BODY URDF SET UP/meshes/Front_Left_Shoulder.STL,,Assem12^Whole BODY URDF SET UP-1,Origin_Front_Left_Shoulder,Axis_Front_Left_Shoulder,Front_Left_Shoulder,revolute,-0.118561401541924,0,0,1.5707963267949,-0.0365489253746626,0,Front_Hip,0,0,1,0,0,-1.57,1.57,,,,,,,,
Front_Left_Upper_Leg,-0.0138284683520782,-0.0347803760409055,0.0524397996972768,0,0,0,0.0622185374309281,3.95026604801634E-05,3.21197098204208E-06,-4.52317416236056E-06,3.18332810578734E-05,1.54040416736055E-05,2.00120493351569E-05,0,0,0,0,0,0,package://Whole BODY URDF SET UP/meshes/Front_Left_Upper_Leg.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Whole BODY URDF SET UP/meshes/Front_Left_Upper_Leg.STL,,Assem10^Whole BODY URDF SET UP-1,Origin_Front_Left_Upper_Leg,Axis_Front_Left_Upper_Leg,Front_Left_Upper_Leg,revolute,-0.00185531578486946,-0.0359521599259129,-0.0287921500156247,0.940540322874895,-0.0416664486626156,-0.0211815707953396,Front_Left_Shoulder,0.998671109053135,-0.0515365495797057,0,0,0,-1.57,1.57,,,,,,,,
Front_Left_Lower_Leg,-0.0136277736994216,-0.0505339035503838,-0.0279236330848666,0,0,0,0.0155256621613376,2.38562608052699E-05,-8.45654826936085E-07,-4.48322423480095E-07,5.96509335753058E-06,-9.5310841114569E-06,1.82031583320902E-05,0,0,0,0,0,0,package://Whole BODY URDF SET UP/meshes/Front_Left_Lower_Leg.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Whole BODY URDF SET UP/meshes/Front_Left_Lower_Leg.STL,,Assem11^Whole BODY URDF SET UP-1,Origin_Front_Left_Lower_Leg,Axis_Front_Left_Lower_Leg,Front_Left_Lower_Leg,revolute,-0.0239845511436166,-0.0511939313025561,0.0774627196076526,-1.41646272232564,0.0509476316630302,-0.0436370237871092,Front_Left_Upper_Leg,0.998671109053135,-0.0515365495797045,0,0,0,-1.57,1.57,,,,,,,,
Front_Right_Shoulder,-0.00461374227477766,-0.0147975561386528,-0.0391253002509455,0,0,0,0.107869096375755,2.22394596492883E-05,4.94574385861689E-07,-2.34396356728712E-07,3.46102501709838E-05,-4.77724670579523E-08,2.85445263842194E-05,0,0,0,0,0,0,package://Whole BODY URDF SET UP/meshes/Front_Right_Shoulder.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Whole BODY URDF SET UP/meshes/Front_Right_Shoulder.STL,,Right Shoulder Assembly-1,Origin_Front_Right_Shoulder,Axis_Front_Right_Shoulder,Front_Right_Shoulder,revolute,0.01,0,0,1.5707963267949,0,0,Front_Hip,0,0,1,0,0,-1.57,1.57,,,,,,,,
Front_Right_Upper_Leg,0.0145550029225172,-0.0502252403253611,0.025931874412354,0,0,0,0.0933622190352868,7.29830992475442E-05,-1.14286741887544E-05,5.90010671510385E-06,2.77722077001298E-05,2.526024805234E-05,6.36533679052227E-05,0,0,0,0,0,0,package://Whole BODY URDF SET UP/meshes/Front_Right_Upper_Leg.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Whole BODY URDF SET UP/meshes/Front_Right_Upper_Leg.STL,,Right Upper Leg Assembly-1,Origin_Front_Right_Upper_Leg,Axis_Front_Right_Upper_Leg,Front_Right_Upper_Leg,revolute,0,-0.0359999999999964,-0.0290450000000011,0.449742756146675,0,0,Front_Right_Shoulder,1,0,0,0,0,-1.57,1.57,,,,,,,,
Front_Right_Lower_Leg,0.00576780968735226,-0.0400146670662195,-0.03842906672573,0,0,0,0.01631288240346,2.39312087583388E-05,-6.54525511951302E-08,-6.28595038448721E-08,1.16247328034003E-05,-1.1336330395926E-05,1.25417009886083E-05,0,0,0,0,0,0,package://Whole BODY URDF SET UP/meshes/Front_Right_Lower_Leg.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Whole BODY URDF SET UP/meshes/Front_Right_Lower_Leg.STL,,Right Lower Leg Assembly-1,Origin_Front_Right_Lower_Leg,Axis_Front_Right_Lower_Leg,Front_Right_Lower_Leg,revolute,0.0265392992290382,-0.0830793712108725,0.0428960147240504,-1.19874044905665,0,0,Front_Right_Upper_Leg,1,0,0,0,0,-1.57,1.57,,,,,,,,
Back_Hip,-0.0542406994149277,0.0322730422705062,3.74012382937617E-05,0,0,0,0.121414931103108,0.000104658493106656,-5.87910763770902E-13,-4.9758199155276E-12,9.36569018149431E-05,2.09107841058601E-08,0.000157485606415984,0,0,0,0,0,0,package://Whole BODY URDF SET UP/meshes/Back_Hip.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Whole BODY URDF SET UP/meshes/Back_Hip.STL,,Assem9^Whole BODY URDF SET UP-2/Large Torso Shoulder Mount-1,Origin_Back_Hip,Axis_Back_Hip,Back_Hip,fixed,0.0542407007709615,-0.1897985,5.35317635530875E-05,0,0,0,base_link,0,0,0,,,,,,,,,,,,
Back_Right_Shoulder,-0.00461374227477765,-0.0147975561386528,-0.0391253002509454,0,0,0,0.107869096375755,2.22394596492883E-05,4.9457438586169E-07,-2.34396356728709E-07,3.46102501709838E-05,-4.77724670579598E-08,2.85445263842194E-05,0,0,0,0,0,0,package://Whole BODY URDF SET UP/meshes/Back_Right_Shoulder.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Whole BODY URDF SET UP/meshes/Back_Right_Shoulder.STL,,Right Shoulder Assembly-2,Origin_Back_Right_Shoulder,Axis_Back_Right_Shoulder,Back_Right_Shoulder,revolute,0.01,0,0,1.5707963267949,0,0,Back_Hip,0,0,1,0,0,-1.57,1.57,,,,,,,,
